id	name	name_en	name_zh-CN	name_zh-TW
10001	ログインしよう	Log in	登录游戏吧	登入遊戲
10002	調合をしよう	Complete a synthesis	进行调合吧	開始調合
10003	スタミナを50消費しよう	Use 50 stamina	消耗50点体力吧	消耗50精力
10004	経験値クエストをクリアしよう	Clear an EXP Quest	完成经验值挑战吧	通關經驗值挑戰
10005	コールクエストをクリアしよう	Clear a Cole Quest	去完成克尔挑战吧	通關克隆挑戰
10006	光玉クエストをクリアしよう	Clear an Orb Quest	完成光玉挑战吧	通關光玉挑戰
10007	強化の雫クエストをクリアしよう	Clear a Power Up Dew Quest	去完成强化之露挑战吧	通關強化之露挑戰
10008	素材クエストを1回クリアしよう	Clear a Material Quest	去完成素材挑战吧	通關素材挑戰
10009	素材クエストを2回クリアしよう	Clear 2 Material Quests	去完成2次素材挑战吧	通關2次素材挑戰
10010	ガチャを引こう	Make a wish	去许下星愿吧	許下星願吧
10011	調合を3回しよう	Synthesize 3 times	进行3次调合吧	進行3次調合
10012	スタミナを100消費しよう	Use 100 stamina	消耗100点体力吧	消耗100精力
10013	注文を1回受け取ろう	Take 1 Order	领取1次订单吧	取得1次訂單
10014	スタミナを消費しよう	Use stamina	消耗体力吧	消耗精力
10015	ピースクエストをクリアしよう	Clear a Piece Quest	去完成碎片挑战吧	通關碎片挑戰
10016	スタミナを200消費しよう			
10017	育成クエストを3回クリアしよう			
10018	育成クエストを6回クリアしよう			
10019	育成クエストを9回クリアしよう			
20001	調合を{}回しよう	Synthesize {} time(s)	进行{}次调合吧	進行{}次調合
20002	調合を{}回しよう	Synthesize {} time(s)	进行{}次调合吧	進行{}次調合
20003	調合を{}回しよう	Synthesize {} time(s)	进行{}次调合吧	進行{}次調合
20004	スタミナを{}消費しよう	Use {} stamina	消耗{}点体力吧	消耗{}精力
20005	スタミナを{}消費しよう	Use {} stamina	消耗{}点体力吧	消耗{}精力
20006	素材クエストを{}回クリアしよう	Clear {} Material Quests	完成{}次素材挑战吧	通關{}次素材挑戰
20007	育成クエストを{}回クリアしよう	Clear {} Training Quests	完成{}次育成挑战吧	通關{}次育成挑戰
20008	ピースクエストを{}回クリアしよう	Clear {} Piece Quests	完成{}次碎片挑战吧	通關{}次碎片挑戰
20009	注文を{}回受け取ろう	Take {} Orders	领取{}次订单吧	取得{}次訂單
20010	注文を{}回受け取ろう	Take {} Orders	领取{}次订单吧	取得{}次訂單
20011	ロマン大武闘大会に挑戦しよう	Join Roman's Grand Tournament	挑战罗曼的大武斗大会吧	挑戰羅曼大武鬥大會吧
50001	キャラをLv5にしよう 	Level a character to Lv. 5	提升角色至Lv.5吧	把角色提升至Lv.5
50002	キャラをLv10にしよう 	Level a character to Lv. 10	提升角色至Lv.10吧	把角色提升至Lv.10
50003	レシピを4回発想しよう 	Develop recipes 4 times	构思4次配方吧	構思4次配方
50004	装備アイテムを1個調合しよう	Synthesize 1 equipment item	调合1个装备道具吧	調合1個裝備道具
50005	スコアバトルを1回クリアしよう	Clear a Score Battle 1 time	通关1次积分战斗吧	通關1次積分戰
50006	戦闘アイテムを1個調合しよう	Synthesize 1 battle item	调合1个战斗道具吧	調合1個戰鬥道具
50007	3回調合しよう	Synthesize 3 times	进行3次调合吧	進行3次調合
50008	経験値クエストを1回クリアしよう	Clear an EXP Quest	完成1次经验值挑战吧	通關1次經驗值挑戰
50009	強化の雫クエストを1回クリアしよう	Clear a Power Up Dew Quest 1 time	完成1次强化之露挑战吧	通關1次強化之露挑戰
50011	光玉クエストを1回クリアしよう	Clear an Orb Quest	完成1次光玉挑战吧	通關1次光玉挑戰
50012	ピースクエストを1回クリアしよう	Clear a Piece Quest 1 time	完成1次碎片挑战吧	通關1次碎片挑戰
50013	グロウボードを10回強化しよう	Enhance Growboards 10 times	强化10次成长星图吧	強化10次成長星圖
