id	name	name_en	name_zh-CN	name_zh-TW
1	フラム	Bomb	炎烧	炎燒
2	ヒーリングサルヴ	Healing Salve	治愈软膏	治癒軟膏
3	エナジーペンダント	Energy Pendant	能量坠饰	能量墜飾
4	フランベルジュ	Flamberge	焰形剑	波焰劍
5	旅人のベスト	Traveler's Vest	旅人背心	旅人背心
6	うに袋	Uni Bag	海胆袋	海膽袋
7	ドライビスク	Dry Biscuit	饼干	餅乾
8	ウサギのシッポ	Bunny Tail	兔子的尾巴	兔子的尾巴
9	お手製の杖	Handmade Staff	手工杖	手工手杖
10	混合毛のシャツ	Mixed Fur Shirt	混合毛衬衫	混毛襯衫
11	うに型チャーム	Uni Charm	海胆挂饰	海膽掛飾
12	蒼穹の弓	Blue Sky Bow	苍穹之弓	蒼穹之弓
13	ノーブルチュニック	Noble Tunic	贵族外衣	尊貴上衣
14	魔女の秘薬	Witch's Potion	魔女的秘药	魔女的秘藥
15	ナントカの秘薬	Secret Remedy	总有办法秘药	總有辦法祕藥
16	ヒーリングベル	Healing Bell	治愈之铃	治癒之鈴
17	モノクログラス	Monochrome Glasses	黑白眼镜	黑白眼鏡
18	軽い鉄の杖	Light Iron Staff	轻巧铁杖	輕巧鐵杖
19	レザープロテクター	Leather Protector	护身皮甲	護身皮甲
20	ドナーストーン	Lightning Bomb	电导之石	電導之石
21	暗黒水	Dark Water	暗黑水	暗黑水
22	素朴な焼き菓子	Simple Cookies	朴素烘焙点心	樸素烘焙點心
23	精霊の首飾り	Spirit Necklace	精灵的项链	精靈的項鍊
24	鉄鉤	Iron Claws	铁钩	鐵鉤
25	風来人のシャツ	Wanderer's Shirt	浪人衬衫	浪人襯衫
26	クラフト	Craft	诡雷	卡夫
27	ルーンストーン	Runestone	符文石	符文石
28	バトルアクス	Battle Axe	战斧	戰斧
29	ハードコート	Hard Coat	坚硬外套	硬質外套
30	神秘の羽衣	Mystic Robe	神秘的羽衣	神秘的羽衣
31	クォーツネックレス	Quartz Necklace	石英项链	石英項鍊
32	癒しの杖	Healing Staff	治愈之杖	治癒之杖
33	ボルダースケイル	Border Scale	巨鳞铠甲	巨鱗鎧甲
34	ウォーパウダー	War Powder	金创粉	金創粉
35	たたかう魔剣	Magic Sword	战斗魔剑	戰鬥魔劍
36	白銀の双剣	Silver Twin Swords	白银双剑	白銀雙劍
37	ナイトシェイド	Night Shade	夜影	暗黑夜影
38	グナーデリング・物	Gnade Ring - Phys	恩典戒指·物	恩典戒指‧物
39	闘志のマフラー	Battle Scarf	斗志围巾	鬥志圍巾
40	グナーデリング・魔	Gnade Ring - Mag	恩典戒指·魔	恩典戒指‧魔
41	スモークミート	Smoked Meat	熏肉	燻肉
42	不幸の瓶詰め	Bottled Misfortune	不幸之瓶	不幸瓶
43	クレアエンパシー	Clairempathy	灵感锤	靈感錘
44	極彩色のローブ	Colorful Robes	极亮彩外袍	極亮彩外袍
45	シュペーヴァイス	Spee Weiss	银光之戟	銀光之戟
46	コンバットシャツ	Combat Shirt	战斗衬衫	戰鬥襯衫
47	ローゼフラム	Rose Bomb	玫瑰炎烧	玫瑰炎燒
48	妙薬ドラッヘン	Drachen Elixir	妙药龙液	妙藥龍液
49	エネルジアニカ	Energianica	形意口琴	形意口琴
50	精霊の杖・火	Spirit Staff - Fire	精灵之杖·火	精靈之杖‧火
51	精霊の杖・氷	Spirit Staff - Ice	精灵之杖·冰	精靈之杖‧冰
52	精霊の杖・風	Spirit Staff - Air	精灵之杖·风	精靈之杖‧風
53	精霊の杖・雷	Spirit Staff - Bolt	精灵之杖·雷	精靈之杖‧雷
54	燃える水	Flame Aqua	可燃烧的水	可燃燒的水
55	錬金キャンディ	Alchemy Candy	炼金糖果	鍊金糖果
56	熱血はちまき	Hot-Blooded Bandana	热血头巾	熱血頭巾
57	無重力シャツ	Weightless Shirt	无重力衬衫	無重力襯衫
58	エンゼルチャーム	Angel Charm	天使吊饰	天使吊飾
59	冒険者の服	Adventurer's Clothing	冒险者的服装	冒險者的服裝
60	ハッスルベルト	Hustle Belt	干劲腰带	幹勁腰帶
61	鋲打ちの皮鎧	Riveted Leather Armor	铆钉皮铠	鉚釘皮鎧
