id	name	name_en	name_zh-CN	name_zh-TW
1	アカデミー	Academy	学院	學院
2	アーランド	Arland	亚兰德	亞蘭德
3	コルセイト	Colseit	科尔先特	柯爾塞特
4	キルヘン・ベル	Kirchen Bell	基尔亨·贝尔	基爾亨‧貝爾
5	クーケン島	Kurken Island	库肯岛	庫肯島
6	「声」を聴く者たち	Earnest Listener	听“声”者们	傾聽「聲音」的人們
7	ランターナ	Lantarna	兰塔纳	蘭塔納
8	正義と探求	Justice & Exploration	正义与探索	正義與探求
9	約束と協力	Promise & Teamwork	约定与合作	約定與合作
10	家族と友情	Family & Friends	家人和友情	家人與友情
11	騎士	Knight	骑士	騎士
12	学生	Student	学生	學生
13	商人	Merchant	商人	商人
14	師匠	Mentor	师父	師父
15	読書	Bookworm	读书	讀書
16	料理	Chef	料理	料理
17	お菓子	Sweets	点心	點心
18	冒険	Adventurer	冒险	冒險
19	お嬢様	Prim	大小姐	大小姐
20	メガネ	Glasses	眼镜	眼鏡
21	季節の装い	Seasonal	节日装扮	季節裝束
22	竜狩り	Dragon Slayer	屠龙者	獵龍
23	世話焼き	Nurturer	乐于助人	樂於助人
24	おてんば	Spirited	淘气	淘氣
25	ずぼら	Carefree	懒散	懶散
26	天然	Whimsical	少根筋	少根筋
27	マイペース	Laid-back	我行我素	我行我素
28	真面目	Diligent	一丝不苟	認真
29	ひょうきん者	Energetic	活宝	詼諧的人
30	寡黙	Quiet	沉默寡言	沉默寡言
31	レスレリ学園	Resleriana Academy	蕾斯莱莉娅娜学园	蕾斯萊莉婭娜學園
32	クリエイター			
33	錬金党			
