id	text	text_en	text_zh-CN	text_zh-TW
0				
1160339540	{0}/{1}	{0}/{1}	{0}/{1}	{0}/{1}
1282897865	+{0}%	+{0}%	+{0}%	+{0}%
218960956	HP	HP	HP	HP
1882407937	Lv.	Lv.	Lv.	Lv.
181003757	Lv.{0}	Lv. {0}	Lv.{0}	Lv.{0}
1999747778	New	New	New	New
110886944	Next.{0}	Next {0}	Next.{0}	Next.{0}
929997768	OFF	OFF	OFF	OFF
1203519584	ON	ON	ON	ON
866150346	SCENE	SCENE	SCENE	SCENE
70053888	SKIP	SKIP	SKIP	SKIP
1539579998	SP	SP	SP	SP
1483757809	アビリティ	Abilities	能力	能力
32340273	おまかせ	Auto	自动	自動
531618509	おまかせ構成	Auto Formation	自动编组	自動編排
2037961712	もう一度	Again	再来一次	再一次
2083738028	レアリティ順	Rarity	按稀有度排序	稀有度排序
580640130	レベル順	Level	按等级排序	等級排序
325358085	移動	Move	移动	移動
225407913	獲得可能場所	Available from	获取途径	獲取途徑
1307687948	完了	Finish	完成	完畢
1284624632	決定	Confirm	确定	決定
317716170	限界突破順	Limit Break	按限界突破排序	突破界限排序
614938910	効果	Effect	效果	效果
52656484	降順	Desc	降序	降序
2006764848	使用	Use	使用	使用
971295283	使用不可	Unavailable	不可使用	無法使用
126503615	次へ	Next	下一步	下一步
359672708	所持数	Owned	持有数	持有數量
1775047974	昇順	Asc	升序	升序
1128147073	詳細	Info	详情	詳情
1465482064	属性耐性	Attribute Resistance	属性耐性	屬性耐性
1325871674	入手順	Acquired	按获得时间排序	獲得排序
103282216	閉じる	Close	关闭	關閉
762292532	変更	Change	更改	變更
602481985	報酬	Rewards	报酬	報酬
615618330	名前順	Name	按名称排序	名稱排序
1852545974	戻る	Back	返回	返回
1270298439	ほうき星の力が秘められた特別な素材。\nアイテムの調合に使用できる。	A special material that holds hidden power from a comet.\nUsed in item synthesis.	蕴藏彗星之力的特别素材。\n可用于调合道具。	蘊藏了彗星之力的特別素材。\n可於調合道具時使用。
1133912045	コール	Cole	克尔	克隆
482246557	アイテム	Items	道具	道具
446016452	装備アイテム	Equipment	装备道具	裝備道具
1374452943	ピース	Pieces	碎片	碎片
210934886	戦闘アイテム	Battle Items	战斗道具	戰鬥道具
1186411281	タイトルへ戻る	Back to Title Screen	返回标题界面	返回標題畫面
1820219842	タイトル画面へ戻りますか？	Return to the title screen?	是否返回标题界面？	要返回標題畫面嗎？
1240190174	アカウント消去	Delete Account	删除账号	刪除帳號
1798613985	アカウントを消去しますか？	Delete this account?	是否删除账号？	要刪除帳號嗎？
266950727	本当に消去して\nよろしいですか？	This account will be deleted.\nAre you sure?	确定要删除吗？	真的確定要\n刪除嗎？
1918070397	アカウントを消去しました。\nタイトル画面へ移動します。	Account successfully deleted.\nReturning to title screen.	已删除账号。\n将移动至标题界面。	已刪除帳號。\n即將移動至標題畫面。
1593570123	Rank	Rank	Rank	Rank
317206557	/	/	/	/
1574898803	ホーム	Home	主界面	主頁
1477266018	パーティ	Party	队伍	隊伍
370644103	メインストーリー	Main Story	主线故事	主線故事
986579130	ストーリー	Story	故事	故事
1836057449	クエスト	Quests	挑战	挑戰
729657918	アトリエ	Atelier	炼金工房	鍊金工房
2140976127	ショップ	Shop	商店	商店
1647447488	ガチャ	Wish	星愿	星願
2100276459	メール	Mail	邮件	信件
1520523299	ミッション	Missions	任务	任務
1670258081	レシピ発想	Recipes	构思配方	構思配方
1359755826	メニュー	Menu	菜单	選單
1494469185	キャラ	Characters	角色	角色
1055567644	メモリア	Memoria	回忆	回憶
365556185	イベント	Events	活动	活動
1672773555	カフェ	Cafe	咖啡厅	咖啡廳
1414376909	調合	Synthesis	调合	調合
928900484	グロウボード	Growboard	成长星图	成長星圖
295939895	{0}章	Chapter {0}	第{0}章	第{0}章
1474389580	DAY{0}	DAY {0}	DAY{0}	DAY{0}
1794813242	×	×	×	×
1679396069	1日の{0}回復回数の上限に到達しています	The daily {0} recovery limit has been reached.	已达到每日{0}恢复次数上限。	單日{0}回復次數已達上限
156448126	{0}が不足しているため出撃できません	More {0} needed to attack.	{0}不足，无法出击。	{0}不足，無法出擊
217323132	{0}回復	Recover {0}	恢复{0}	{0}回復
1185210121	星導石	Lodestar Gems	星导石	星導石
