id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
1	ナナシ草	Nameless Grass	无名草	無名草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
2	コゲクサ	Dry Grass	焦草	焦草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
3	食毒草	Poisonous Grass	食毒草	食毒草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
4	アオツメクサ	Blue Clover	蓝诘草	藍詰草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
5	スイートリーフ	Sweet Leaf	甜叶	甜葉	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
6	雲海の隠れ家	Cloud Sea Hideout	云海藏身处	雲海藏身處	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
7	蓮	Lotus	莲花	蓮花	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
8	幸せクローバー	Lucky Clover	幸运四叶草	幸運四葉草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
9	千日草	Gomphrena	千日草	千日草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
10	エスプラント	Esplante	艾思草	艾思草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
11	ほたる火草	Glow Grass	萤火草	螢火草	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
12	カブトバッタ	Helmeted Grasshopper​	独角仙蚱蜢	獨角仙蚱蜢	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
13	キラービー	Killer Bee	杀人蜂	殺人蜂	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
14	貯ミツアリ	Honeypot Ant	储蜜蚂蚁	儲蜜螞蟻	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
15	苦ミミズ	Bitter Worm	苦蚯蚓	苦蚯蚓	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
16	星テントウ	Star Ladybug	星星瓢虫	星星瓢蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
17	うにゾウムシ	Uni Weevil	海胆象鼻虫	海膽象鼻蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
18	インゴットバグ	Ingot Bug	金属块虫	金屬塊蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
19	ベビーヴルム	Baby Wyrm	幼虹虫	幼虹蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
20	月イナゴ	Lunar Locust	月蝗虫	月蝗蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
21	ラピス・パピヨン	Lapis Papillion	娜匹斯蝶	娜匹斯蝶	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
22	アンバーフライ	Amber Fly	琥珀飞虫	琥珀飛蟲	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
23	植物エキス	Plant Essence	植物精华	植物精華	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
24	パチパチ水	Crackling Water	啪汽啪汽水	啪汽啪汽水	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
25	ビリビリ水	Zapping Water	霹麻霹麻水	霹麻霹麻水	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
26	きれいな水	Clean Water	清澈的水	乾淨的水	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
27	水底の水	Lakebottom Water	水底的水	水底的水	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
28	闇の雫	Dark Dew	黑暗水滴	黑暗水滴	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
29	黒水	Black Water	黑水	黑水	調合をするために必要な素材。	Material needed for synthesis.	执行调合所需的素材。	執行調合時不可或缺的素材。
