id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
1	チュートリアル LEGEND FES	Tutorial LEGEND FES	教学 LEGEND FES	教學 LEGEND FES	1回無料のチュートリアルガチャ\n★3キャラ4人が登場！	Free Tutorial Wish!\nFeaturing four ★3 Characters!	可以免费许愿1次的教学星愿\n4名★3角色登场！	免費1次的教學星願\n4名★3角色登場！
2	チュートリアル LEGEND FES	Tutorial LEGEND FES	教学 LEGEND FES	教學 LEGEND FES	1回無料のチュートリアルガチャ\n★3キャラ3人が登場！	Free Tutorial Wish!\nFeaturing three ★3 Characters!	可以免费许愿1次的教学星愿\n3名★3角色登场！	免費1次的教學星願\n3名★3角色登場！
2001	リリース記念 LEGEND FES	Release Celebration LEGEND FES	开服纪念 LEGEND FES	發行紀念 LEGEND FES	リリース記念！★3キャラ4人がPickUP！\n2023/10/2 12:00まで開催	Four Featured ★3 Characters to commemorate the release!\nUntil 2024/02/01 10:59 (UTC+8).	纪念游戏开服，4名★3角色Pick Up！\n开放至2024/02/01 10:59（UTC+8）。	發行紀念！4名★3角色Pick Up！\n活動至2024/02/01 10:59（UTC+8）為止。
2002	★3キャラ確定ガチャプレゼントLEGEND FES	Guaranteed ★3 Character Wish Gift LEGEND FES	必出★3角色星愿献礼LEGEND FES	確定出現★3角色的星願獻禮LEGEND FES	有償星導石×3000で10回引くと、\n無料1回の★3キャラ確定ガチャが解放！	Use 3,000 Paid Lodestar Gems for 10 Wishes and unlock a free ★3 Character Guaranteed Wish!	使用3000个付费星导石许愿10次，\n解锁可免费许愿1次，必出★3角色的星愿池！	以付費3000星導石抽10次，\n即解鎖1次確定出現★3角色的免費星願！
2003	リリース記念第2弾LEGEND FES	Release Celebration Part 2 - LEGEND FES	开服纪念第2弹 LEGEND FES	發行紀念第2彈 LEGEND FES	ソフィー・プラフタが新登場＆確率UP！\n2023/10/10 12:00まで開催	Sophie and Plachta make their debut!\nHigher drop rates until 2024/02/10 10:59 (UTC+8).	苏菲、普拉芙妲全新登场&概率UP！活动时间截至2024/02/10 10:59（UTC+8）	蘇菲、普拉芙妲新登場&機率UP！\n活動至2024/02/10 10:59（UTC+8）為止。
2004	ヴァレリア新章追加記念 LEGEND FES	Celebrating a New Valeria Chapter - LEGEND FES	瓦莱莉娅新章节追加纪念 LEGEND FES	瓦萊莉婭新章追加紀念 LEGEND FES	ヴァレリア・クラウディアが新登場！＆PickUP！\n2023/10/18 12:00まで開催	Valeria and Klaudia make their debut!\nFeatured until 2024/02/19 10:59 (UTC+8).	瓦莱莉娅、科洛蒂娅全新登场！&Pick UP！活动时间截至2024/02/19 10:59（UTC+8）	瓦萊莉婭、科洛蒂婭新登場＆PickUP！\n活動至2024/02/19 10:59（UTC+8）為止。
2005	ザールブルグの錬金術士LEGEND FES	The Alchemist of Salburg - LEGEND FES	萨尔布鲁克的炼金术士 LEGEND FES	薩爾布魯克的鍊金術士LEGEND FES	リリー・エリーが新登場＆PickUP！\n2023/10/25 12:00まで開催	Lilie and Elie make their debut!\nFeatured until 2024/02/27 10:59 (UTC+8).	莉莉、艾莉全新登场&概率UP！活动时间截至2024/02/27 10:59（UTC+8）	莉莉、艾莉新登場&PickUP！\n活動至2024/02/27 10:59（UTC+8）為止。
2006	ヴァレリア新章追加記念 半額LEGEND FES	Celebrating a New Valeria Chapter - LEGEND FES [Paid Lodestar Gems Only]	瓦莱莉娅新章节追加纪念 LEGEND FES[仅限付费星导石]	瓦萊莉婭新章追加紀念 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/10/18 12:00まで開催	10 Wishes at 1,500 Paid Lodestar Gems! \nMax 15 times! Get 6 medals!\nUntil 2024/02/19 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/02/19 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！\n獲得6枚代幣！活動至2024/02/19 10:59（UTC+8）\n為止。
2007	300万DL記念 LEGEND FES	5M Worldwide DL Celebration - LEGEND FES	全球500万次下载纪念 LEGEND FES	全球500萬次下載紀念 LEGEND FES	ドレス衣装メルルが新登場＆PickUP！\n2023/11/1 12:00まで開催	Meruru (Dress Ver.) makes her debut!\nFeatured until 2024/03/08 10:59 (UTC+8).	礼服裙梅露露全新登场&概率UP！活动时间截至2024/03/08 10:59（UTC+8）	禮服造型的梅露露新登場&PickUP！\n活動至2024/03/08 10:59（UTC+8）為止。
2008	HALLOWEEN2023 LEGEND FES	HALLOWEEN 2024 - LEGEND FES	HALLOWEEN2024 LEGEND FES	HALLOWEEN2024 LEGEND FES	ハロウィン衣装のプラフタが新登場＆PickUP！\n2023/11/11 12:00まで開催	Plachta makes her debut in a Halloween outfit!\nFeatured until 2024/09/16 10:59 (UTC+8).	万圣节服装普拉芙妲全新登场&PickUp！\n举办时间截至2024/09/16 10:59（UTC+8）	萬聖節造型的普拉芙妲新登場&PickUP！\n活動至2024/09/16 10:59（UTC+8）為止。
